image_name,class,width,height
019a7bfd-79da-43cb-9844-bad90352493f.jpg,Anthracnose,512,512
0aa25de2-a57c-4f68-af57-1905d033c0dc.jpg,Anthracnose,512,512
10e6e1b0-01d6-48ee-bf11-8a707aa49070.jpg,Anthracnose,512,512
19489992-3f1a-462d-9bb0-123b089a69b6.jpg,Anthracnose,512,512
1fa54482-3fd5-423f-b623-2d4cb5e594bc.jpg,Anthracnose,512,512
20260124_171929.jpg,Anthracnose,512,512
20260124_172148.jpg,Anthracnose,512,512
20260124_172226.jpg,Anthracnose,512,512
20260124_172840.jpg,Anthracnose,512,512
20260214_172238.jpg,Anthracnose,512,512
20260214_172245.jpg,Anthracnose,512,512
20260214_172248.jpg,Anthracnose,512,512
20260214_172250.jpg,Anthracnose,512,512
20260215_084820.jpg,Anthracnose,512,512
20260215_084825.jpg,Anthracnose,512,512
20260215_084905.jpg,Anthracnose,512,512
20260215_084935.jpg,Anthracnose,512,512
20260222_153015.jpg,Anthracnose,512,512
20260222_153131.jpg,Anthracnose,512,512
20260222_153714.jpg,Anthracnose,512,512
22d045ce-2cd7-464f-b82a-93783b1c5474.jpg,Anthracnose,512,512
2a687bc4-0265-4086-b7d5-2c0d5fb67554.jpg,Anthracnose,512,512
3f4ac8db-8bf3-409e-9d49-9bc6687ef5d3.jpg,Anthracnose,512,512
4e019869-3d00-4adc-a9e8-a5940999f873.jpg,Anthracnose,512,512
5b074d7a-f13c-4c0f-9064-6e90c66aa213.jpg,Anthracnose,512,512
5f5ca621-41d9-4754-bfe1-96d70e0126a8.jpg,Anthracnose,512,512
6659c0c6-dcf2-4cc2-907a-5143ac780d1c.jpg,Anthracnose,512,512
669034d9-41ac-4bd5-837b-5d5feed536a9.jpg,Anthracnose,512,512
67f4b259-5bbb-422c-8597-27d817997b9e.jpg,Anthracnose,512,512
6a1bad2d-70e4-438c-90d3-03bcd1e63373.jpg,Anthracnose,512,512
75a585c0-2e58-4b1d-8292-ead4cb45df7b.jpg,Anthracnose,512,512
7600ba93-b659-49c3-8d1a-57ac9525e96d.jpg,Anthracnose,512,512
7ad2dd7d-a8fb-4dea-9a10-1c56614390c1.jpg,Anthracnose,512,512
7f3a49f8-355f-4f86-8859-adcba3dc326a.jpg,Anthracnose,512,512
7f69c488-844a-4cca-a544-6dbed891fb78.jpg,Anthracnose,512,512
816ae323-e4ee-497f-8ac7-7e0082cf4507.jpg,Anthracnose,512,512
81bc75c3-ed66-4b44-9ae7-cb4646f8183c.jpg,Anthracnose,512,512
822bbf3f-2694-4f86-93b8-ce472e856c48.jpg,Anthracnose,512,512
86b262a0-c502-4ee9-8fd1-80318ca827e7.jpg,Anthracnose,512,512
8a0c638f-34b1-41df-ba4a-889496d21e42.jpg,Anthracnose,512,512
99802a7c-5ced-44b6-a504-af0049f3c908.jpg,Anthracnose,512,512
9b6e69b3-a9e7-4f3f-8559-10698a2159e1.jpg,Anthracnose,512,512
a0459db4-0a18-4b0d-89be-af59d0b07214.jpg,Anthracnose,512,512
aaf8206a-4c65-499a-a649-25f88eba7c29.jpg,Anthracnose,512,512
Anthracnose (12).jpg,Anthracnose,512,512
